delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Polygon.started,Polygon.stopped,key_Resp.keys,key_Resp.rt,key_Resp.started,key_Resp.stopped,Sound_1.started,Sound_1.stopped,display_text.started,display_text.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate
0.1,1000,unexp,3,5,35,3,357.2533496,362.2554279,364.238936,None,space,0.6666074,364.238936,None,365.0066117,None,365.3987675,None,1,1.1578856,365.3987675,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,3,6,36,1,366.5519909,371.5546192,373.5226581,None,space,0.6706765,373.5226581,None,374.6050967,None,374.988145,None,1,0.6667518,374.988145,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,3,7,37,8,375.6352606,380.6377997,382.6211837,None,space,0.4054246,382.6211837,None,383.7385534,None,384.1250826,None,1.9140625,1.2504593,384.1250826,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,3,8,38,4,385.3673176,390.3712697,392.3537335,None,space,0.2957364,392.3537335,None,393.0548487,None,393.4430759,None,1.128906161,0.9918027,393.4430759,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,3,9,39,0,394.4196606,399.4203816,401.404758,None,space,0.2631303,401.404758,None,401.7705221,None,402.1626772,None,1.128906161,0.8780798,402.1626772,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,4,0,40,2,403.0330187,408.0363878,410.0201352,None,space,0.3471748,410.0201352,None,411.0707572,None,411.4589049,None,1.937499911,1.4002257,411.4589049,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,4,1,41,3,412.85078,417.8528169,419.8367085,None,space,0.6685165,419.8367085,None,420.6202981,None,421.0148545,None,1.0703125,1.1072956,421.0148545,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,4,2,42,0,422.1006636,427.1025561,429.1014022,None,space,0.394848,429.1014022,None,429.6033312,None,429.9891517,None,1.0703125,0.7876753,429.9891517,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,4,3,43,6,430.766436,435.7683884,437.7519232,None,space,0.2934755,437.7519232,None,438.1530771,None,438.5432383,None,1.0703125,0.8384132,438.5432383,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,4,4,44,7,439.3645306,444.36823,446.3512077,None,space,0.4744819,446.3512077,None,447.2357316,None,447.619672,None,1.0703125,0.6436834,447.619672,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,4,5,45,9,448.2474554,453.2505559,455.2341429,None,space,0.2817812,455.2341429,None,455.618677,None,456.0055829,None,1.023437411,3.5138451,456.0055829,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,4,6,46,8,459.5141002,464.5168033,466.5009428,None,space,0.4118837,466.5009428,None,467.61767,None,467.9970153,None,1.960937589,1.1875878,467.9970153,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,4,7,47,4,469.1798999,474.1834155,476.166666,None,space,0.3397848,476.166666,None,476.9175923,None,477.302805,None,1.03515625,1.476803,477.302805,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,4,8,48,5,478.747564,483.7496476,485.7340786,None,space,0.2832793,485.7340786,None,486.7337756,None,487.1230033,None,1.925781339,1.1995971,487.1230033,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,4,9,49,1,488.2970031,493.299918,495.2825048,None,space,0.5180894,495.2825048,None,496.2164132,None,496.6041065,None,1.152343839,1.0475312,496.6041065,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,5,0,50,5,497.6282729,502.6321899,504.6157105,None,space,0.2578267,504.6157105,None,505.5829954,None,505.9743434,None,1.937499911,1.1613715,505.9743434,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,5,1,51,8,507.1282532,512.1315718,514.1157143,None,space,0.6613799,514.1157143,None,515.4823108,None,515.8719164,None,2.007812411,1.7060151,515.8719164,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,5,2,52,9,517.5619277,522.564404,524.5477206,None,space,0.4636954,524.5477206,None,525.1146303,None,525.5022599,None,1,1.2033475,525.5022599,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,400,exp,5,3,53,7,526.7111719,531.7142296,533.6975626,None,space,0.2985493,533.6975626,None,534.3982688,None,534.7761743,None,1,0.6605972,534.7761743,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,5,4,54,0,535.4283062,540.4299956,542.4147594,None,space,0.3437773,542.4147594,None,542.863646,None,543.2546122,None,1,1.4262386,543.2546122,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,1000,unexp,5,5,55,2,544.6596707,549.6632815,551.6442672,None,space,0.4093773,551.6442672,None,552.7640087,None,553.1508529,None,1,0.792452,553.1508529,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,5,6,56,1,553.9258958,558.9293371,560.9124553,None,space,0.3748602,560.9124553,None,561.6962542,None,562.0827001,None,1,0.4502894,562.0827001,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.4,1000,unexp,5,7,57,4,562.5105828,567.5129121,569.4968858,None,space,0.2344587,569.4968858,None,570.1466044,None,570.5317735,None,1,0.6356219,570.5317735,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,5,8,58,6,571.1585632,576.1617669,578.1460359,None,space,0.2843164,578.1460359,None,578.5459068,None,578.9303393,None,1,1.403163,578.9303393,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,5,9,59,3,580.3097718,585.311423,587.2954141,None,space,0.3430722,587.2954141,None,587.7455126,None,588.1329222,None,1,0.7874811,588.1329222,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,6,0,60,9,588.9075302,593.910974,595.8940528,None,space,0.2690804,595.8940528,None,596.2783217,None,596.6593546,None,1,0.7108865,596.6593546,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.7,400,exp,6,1,61,8,597.3416655,602.3441251,604.3275089,None,space,1.053887,604.3275089,None,606.0938618,None,606.4775948,None,1.9140625,1.1530358,606.4775948,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,400,exp,6,2,62,6,607.6235685,612.6266466,614.6100089,None,space,0.2610876,614.6100089,None,614.9778164,None,615.3632277,None,1,3.2353404,615.3632277,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,6,3,63,0,618.5894655,623.5929763,625.5770877,None,space,0.5365372,625.5770877,None,626.2264957,None,626.6107101,None,1,1.187322,626.6107101,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
0.1,1000,unexp,6,4,64,3,627.7737191,632.7760139,634.7594373,None,space,0.3838758,634.7594373,None,635.243897,None,635.635154,None,1,1.377966,635.635154,None,763336,1,2023-10-27_14h43.33.657,Intentional Binding,2022.1.4,60.12263816
